"Rented_Bike_Count","Hour","Temperature","Humidity","Wind_speed","Visibility","Dew_point_temperature","Solar_Radiation","Rainfall","Snowfall","Seasons","Holiday","Functioning_Day"
254,0,0.22027972027972,0.377551020408163,0.297297297297297,1,0.224913494809689,0,0,0,4,2,2
204,1,0.215034965034965,0.387755102040816,0.108108108108108,1,0.224913494809689,0,0,0,4,2,2
173,2,0.206293706293706,0.397959183673469,0.135135135135135,1,0.22318339100346,0,0,0,4,2,2
107,3,0.202797202797203,0.408163265306122,0.121621621621622,1,0.224913494809689,0,0,0,4,2,2
78,4,0.206293706293706,0.36734693877551,0.310810810810811,1,0.207612456747405,0,0,0,4,2,2
100,5,0.199300699300699,0.377551020408163,0.202702702702703,1,0.205882352941177,0,0,0,4,2,2
181,6,0.195804195804196,0.357142857142857,0.175675675675676,1,0.19204152249135,0,0,0,4,2,2
460,7,0.181818181818182,0.387755102040816,0.121621621621622,1,0.195501730103806,0,0,0,4,2,2
930,8,0.178321678321678,0.377551020408163,0.148648648648649,1,0.186851211072664,0.01,0,0,4,2,2
490,9,0.197552447552448,0.275510204081633,0.0675675675675676,0.963507349214394,0.141868512110727,0.23,0,0,4,2,2
339,10,0.25,0.244897959183673,0.162162162162162,0.997972630511911,0.162629757785467,0.65,0,0,4,2,2
360,11,0.302447552447552,0.214285714285714,0.175675675675676,0.967562088190573,0.179930795847751,0.94,0,0,4,2,2
449,12,0.340909090909091,0.23469387755102,0.189189189189189,1,0.231833910034602,1.11,0,0,4,2,2
451,13,0.353146853146853,0.255102040816327,0.216216216216216,1,0.259515570934256,1.16,0,0,4,2,2
447,14,0.363636363636364,0.26530612244898,0.27027027027027,1,0.27681660899654,1.01,0,0,4,2,2
463,15,0.347902097902098,0.36734693877551,0.432432432432432,1,0.332179930795848,0.54,0,0,4,2,2
484,16,0.332167832167832,0.551020408163265,0.567567567567568,0.388241256969083,0.408304498269896,0.24,0,0,4,2,2
555,17,0.325174825174825,0.591836734693878,0.216216216216216,1,0.416955017301038,0.08,0,0,4,2,2
862,18,0.321678321678322,0.673469387755102,0.189189189189189,1,0.442906574394464,0,0,0,4,2,2
600,19,0.311188811188811,0.785714285714286,0.22972972972973,1,0.468858131487889,0,0,0,4,2,2
426,20,0.305944055944056,0.806122448979592,0.202702702702703,0.95590471363406,0.468858131487889,0,0,0,4,2,2
405,21,0.297202797202797,0.826530612244898,0.108108108108108,0.84135833755702,0.467128027681661,0,0,0,4,2,2
398,22,0.295454545454545,0.846938775510204,0.202702702702703,0.685757729346173,0.470588235294118,0,0,0,4,2,2
323,23,0.288461538461538,0.857142857142857,0.135135135135135,0.627470856563609,0.467128027681661,0,0,0,4,2,2
328,0,0.27972027972028,0.887755102040816,0.148648648648649,0.490116573745565,0.467128027681661,0,0,0,4,2,2
308,1,0.272727272727273,0.877551020408163,0.0810810810810811,0.488089204257476,0.456747404844291,0,0,0,4,2,2
262,2,0.26048951048951,0.877551020408163,0.202702702702703,0.622909275215408,0.444636678200692,0,0,0,4,2,2
167,3,0.25,0.826530612244898,0.297297297297297,0.605169792194628,0.422145328719723,0,0,0,4,2,2
89,4,0.244755244755245,0.806122448979592,0.27027027027027,0.577800304105423,0.410034602076125,0,0,0,4,2,2
79,5,0.241258741258741,0.806122448979592,0.202702702702703,0.595539787126204,0.406574394463668,0,0,0,4,2,2
70,6,0.236013986013986,0.836734693877551,0.283783783783784,0.583375570197669,0.410034602076125,0,0,0,4,2,2
146,7,0.234265734265734,0.826530612244898,0.337837837837838,0.633046122655854,0.406574394463668,0,0,0,4,2,2
219,8,0.237762237762238,0.806122448979592,0.283783783783784,0.714140902179422,0.403114186851211,0.01,0,0,4,2,2
328,9,0.26048951048951,0.693877551020408,0.216216216216216,0.73998986315256,0.392733564013841,0.3,0,0,4,2,2
334,10,0.304195804195804,0.581632653061224,0.216216216216216,0.64977192093259,0.394463667820069,0.8,0,0,4,2,2
388,11,0.344405594405594,0.5,0.243243243243243,0.698935631018753,0.396193771626298,1,0,0,4,2,2
479,12,0.386363636363636,0.418367346938776,0.175675675675676,0.830714647744551,0.394463667820069,1.09,0,0,4,2,2
606,13,0.416083916083916,0.36734693877551,0.243243243243243,0.888494678155094,0.392733564013841,1.12,0,0,4,2,2
611,14,0.438811188811189,0.357142857142857,0.175675675675676,0.977192093258996,0.406574394463668,0.99,0,0,4,2,2
589,15,0.444055944055944,0.418367346938776,0.310810810810811,0.976178408514952,0.44636678200692,0.74,0,0,4,2,2
618,16,0.423076923076923,0.489795918367347,0.351351351351351,0.972123669538773,0.463667820069204,0.22,0,0,4,2,2
572,17,0.416083916083916,0.520408163265306,0.337837837837838,0.944754181449569,0.472318339100346,0.06,0,0,4,2,2
489,18,0.407342657342657,0.540816326530612,0.202702702702703,0.846426761277243,0.472318339100346,0,0,0,4,2,2
385,19,0.398601398601399,0.530612244897959,0.310810810810811,0.830714647744551,0.460207612456747,0,0,0,4,2,2
359,20,0.391608391608392,0.520408163265306,0.162162162162162,0.789660415610745,0.449826989619377,0,0,0,4,2,2
377,21,0.382867132867133,0.561224489795918,0.162162162162162,0.72022301064369,0.458477508650519,0,0,0,4,2,2
354,22,0.372377622377622,0.551020408163265,0.202702702702703,0.719209325899645,0.444636678200692,0,0,0,4,2,2
366,23,0.381118881118881,0.571428571428571,0.135135135135135,0.671566142929549,0.460207612456747,0,0,0,4,2,2
342,0,0.381118881118881,0.591836734693878,0.189189189189189,0.6431829700963,0.468858131487889,0,0,0,4,2,2
227,1,0.379370629370629,0.704081632653061,0.22972972972973,0.232133806386214,0.508650519031142,0,0,0,4,2,2
228,2,0.368881118881119,0.806122448979592,0.189189189189189,0.406994424733908,0.529411764705882,0,0,0,4,2,2
117,3,0.370629370629371,0.724489795918367,0.216216216216216,0.498732894069944,0.506920415224913,0,0.5,0,4,2,2
76,4,0.372377622377622,0.744897959183674,0.135135135135135,0.523568170299037,0.515570934256055,0,0,0,4,2,2
